v3.74	Dec 16 20:36:28 2019	 x0	1000	0.356	CYC:  0 (k=0)	RND:	a                       example sequence (  87 ch) REC:1000	 31	   0: N/A
v3.74	Dec 16 20:38:44 2019	 x1	1000	0.410	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-67-bslclr.txt ( 100 bp) REC:1000	 41	   1: bslip type 1
v3.74	Dec 16 20:38:44 2019	 x1	1000	0.420	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-68-dRaggd.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:38:44 2019	 x1	1000	0.500	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-69-ktrans.txt ( 100 bp) REC:1000	 50	   0: N/A
v3.74	Dec 16 20:38:45 2019	 x1	1000	0.360	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-70-ktrans.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:38:45 2019	 x1	1000	0.400	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-71-ktrans.txt ( 100 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:38:45 2019	 x1	1000	0.360	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-72-ktrans.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:38:45 2019	 x1	1000	0.450	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-73-ktrans.txt ( 100 bp) REC:1000	 45	   1: bslip type 4
v3.74	Dec 16 20:38:46 2019	 x1	1000	0.460	CYC:  5 (k=3)	RND:	i  waves/tubespit/tubespit-74-ktrans.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:38:46 2019	 x1	1000	0.350	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-75-ktrans.txt ( 100 bp) REC:1000	 35	   0: N/A
v3.74	Dec 16 20:38:46 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-76-ktrans.txt ( 100 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:38:47 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-77-ktrans.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:38:47 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-78-ktrans.txt ( 100 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:38:47 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-79-kcheck.txt ( 100 bp) REC:1000	 44	   1: bslip type 4
v3.74	Dec 16 20:38:47 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-80-kcheck.txt ( 100 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:38:48 2019	 x1	1000	0.420	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-81-kcheck.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:38:48 2019	 x1	1000	0.450	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-82-kcheck.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:38:48 2019	 x1	1000	0.380	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-83-shadow.txt ( 100 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:38:48 2019	 x1	1000	0.540	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-84-shadow.txt ( 100 bp) REC:1000	 54	   1: bslip type 1
v3.74	Dec 16 20:38:49 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-85-adjDTH.txt ( 100 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:38:49 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-86-adjDTH.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:38:49 2019	 x1	1000	0.420	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-87-adjDTH.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:38:49 2019	 x1	1000	0.500	CYC:  2 (k=3)	RND:	i  waves/tubespit/tubespit-88-ndgLst.txt (  16 bp) REC:1000	  8	   0: N/A
v3.74	Dec 16 20:38:50 2019	 x1	1000	0.360	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-89-ktrans.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:38:50 2019	 x1	1000	0.600	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v327_52.txt ( 100 bp) REC:1000	 60	   0: N/A
v3.74	Dec 16 20:38:50 2019	 x1	1000	0.480	CYC:  8 (k=3)	RND:	i    waves/tubespit/tubespit_v343_01.txt ( 100 bp) REC:1000	 48	   0: N/A
v3.74	Dec 16 20:38:51 2019	 x1	1000	0.570	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_02.txt ( 100 bp) REC:1000	 57	   0: N/A
v3.74	Dec 16 20:38:51 2019	 x1	1000	0.290	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_03.txt ( 100 bp) REC:1000	 29	   0: N/A
v3.74	Dec 16 20:38:51 2019	 x1	1000	0.470	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v343_04.txt ( 100 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:38:52 2019	 x1	1000	0.450	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_05.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:38:52 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_06.txt ( 100 bp) REC:1000	 46	   1: bslip type 5
v3.74	Dec 16 20:38:52 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_07.txt ( 100 bp) REC:1000	 46	   1: bslip type 1
v3.74	Dec 16 20:38:52 2019	 x1	1000	0.430	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_08.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:38:53 2019	 x1	1000	0.290	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_09.txt ( 100 bp) REC:1000	 29	   0: N/A
v3.74	Dec 16 20:38:53 2019	 x1	1000	0.280	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_10.txt ( 100 bp) REC:1000	 28	   0: N/A
v3.74	Dec 16 20:38:53 2019	 x1	1000	0.340	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_11.txt ( 100 bp) REC:1000	 34	   0: N/A
v3.74	Dec 16 20:38:54 2019	 x1	1000	0.520	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_12.txt ( 100 bp) REC:1000	 52	   1: bslip type 1
v3.74	Dec 16 20:38:54 2019	 x1	1000	0.420	CYC:  3 (k=3)	RND:	i    waves/tubespit/tubespit_v343_13.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:38:54 2019	 x1	1000	0.440	CYC:  2 (k=3)	RND:	i    waves/tubespit/tubespit_v343_14.txt ( 100 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:38:54 2019	 x1	 918	0.370	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_17.txt ( 100 bp) REC: 970	 37	   1: bslip type 1
v3.74	Dec 16 20:38:55 2019	 x1	1000	0.490	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_18.txt ( 100 bp) REC:1000	 49	   0: N/A
v3.74	Dec 16 20:38:55 2019	 x1	1000	0.420	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_19.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:38:55 2019	 x1	1000	0.540	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_20.txt ( 100 bp) REC:1000	 54	   0: N/A
v3.74	Dec 16 20:38:56 2019	 x1	1000	0.550	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_21.txt ( 100 bp) REC:1000	 55	   0: N/A
v3.74	Dec 16 20:38:56 2019	 x1	1000	0.390	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_22.txt ( 100 bp) REC:1000	 39	   0: N/A
v3.74	Dec 16 20:38:56 2019	 x1	1000	0.490	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_23.txt ( 100 bp) REC:1000	 49	   1: bslip type 5
v3.74	Dec 16 20:38:56 2019	 x1	1000	0.430	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_24.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:38:57 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_25.txt ( 100 bp) REC:1000	 46	   1: bslip type 1
v3.74	Dec 16 20:38:57 2019	 x1	1000	0.420	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v344_03.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:38:57 2019	 x1	1000	0.320	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_05.txt ( 100 bp) REC:1000	 32	   0: N/A
v3.74	Dec 16 20:38:58 2019	 x1	1000	0.500	CYC:  3 (k=3)	RND:	i    waves/tubespit/tubespit_v344_06.txt ( 100 bp) REC:1000	 50	   0: N/A
v3.74	Dec 16 20:38:58 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_01.txt ( 100 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:38:58 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_02.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:38:58 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_04.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:38:59 2019	 x1	1000	0.420	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_07.txt ( 100 bp) REC:1000	 42	   1: bslip type 1
v3.74	Dec 16 20:38:59 2019	 x1	1000	0.520	CYC:  1 (k=2)	RND:	i    waves/tubespit/tubespit_v344_08.txt ( 100 bp) REC:1000	 52	   0: N/A
v3.74	Dec 16 20:38:59 2019	 x1	1000	0.460	CYC:  1 (k=2)	RND:	i    waves/tubespit/tubespit_v344_09.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:39:00 2019	 x1	1000	0.510	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_10.txt ( 100 bp) REC:1000	 51	   0: N/A
v3.74	Dec 16 20:39:00 2019	 x1	1000	0.430	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_11.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:39:00 2019	 x1	1000	0.480	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_12.txt ( 100 bp) REC:1000	 48	   0: N/A
v3.74	Dec 16 20:39:00 2019	 x1	1000	0.400	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_13.txt ( 100 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:39:01 2019	 x1	1000	0.360	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_14.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:39:01 2019	 x1	1000	0.400	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_15.txt ( 100 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:39:01 2019	 x1	1000	0.360	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_16.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:39:02 2019	 x1	1000	0.520	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_17.txt ( 100 bp) REC:1000	 52	   0: N/A
v3.74	Dec 16 20:39:02 2019	 x1	1000	0.390	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_18.txt ( 100 bp) REC:1000	 39	   0: N/A
v3.74	Dec 16 20:39:02 2019	 x1	1000	0.420	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v344_19.txt ( 100 bp) REC:1000	 42	   1: bslip type 1
v3.74	Dec 16 20:39:02 2019	 x1	1000	0.420	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v344_20.txt ( 100 bp) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:39:03 2019	 x1	1000	0.370	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_21.txt ( 100 bp) REC:1000	 37	   0: N/A
v3.74	Dec 16 20:39:03 2019	 x1	 842	0.380	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_22.txt ( 100 bp) REC: 990	 38	   0: N/A
v3.74	Dec 16 20:39:03 2019	 x1	1000	0.470	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_23.txt ( 100 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:39:04 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_24.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:39:04 2019	 x1	1000	0.320	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_25.txt ( 100 bp) REC:1000	 32	   1: bslip type 4
v3.74	Dec 16 20:39:04 2019	 x1	1000	0.560	CYC:  2 (k=3)	RND:	i    waves/tubespit/tubespit_v344_26.txt ( 100 bp) REC:1000	 56	   0: N/A
v3.74	Dec 16 20:39:04 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_27.txt ( 100 bp) REC:1000	 44	   1: bslip type 1
v3.74	Dec 16 20:39:05 2019	 x1	1000	0.410	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_28.txt ( 100 bp) REC:1000	 41	   1: bslip type 5
v3.74	Dec 16 20:39:05 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_29.txt ( 100 bp) REC:1000	 46	   1: bslip type 5
v3.74	Dec 16 20:39:05 2019	 x1	1000	0.370	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_30.txt ( 100 bp) REC:1000	 37	   0: N/A
v3.74	Dec 16 20:39:06 2019	 x1	1000	0.400	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_31.txt ( 100 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:39:06 2019	 x1	1000	0.500	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_32.txt ( 100 bp) REC:1000	 50	   1: bslip type 1
v3.74	Dec 16 20:39:06 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_33.txt ( 100 bp) REC:1000	 44	   1: bslip type 1
v3.74	Dec 16 20:39:06 2019	 x1	1000	0.480	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_34.txt ( 100 bp) REC:1000	 48	   0: N/A
v3.74	Dec 16 20:39:07 2019	 x1	1000	0.370	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_35.txt ( 100 bp) REC:1000	 37	   0: N/A
v3.74	Dec 16 20:39:07 2019	 x1	1000	0.480	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v344_36.txt ( 100 bp) REC:1000	 48	   0: N/A
